# HGNC gene id	# source ID
VEGFC	HGNC
CYP3A4	HGNC
FGF21	HGNC
PPARA	HGNC
PPARG	HGNC
SLC9A3	HGNC
SCD5	HGNC
UPRT	HGNC
ARAF	HGNC
MPG	HGNC
CD68	HGNC
CYCS	HGNC
KCNH2	HGNC
KIN	HGNC
CANT1	HGNC
MUC5B	HGNC
PI3	HGNC
SLPI	HGNC
GNPNAT1	HGNC
RAB3A	HGNC
ELAVL1	HGNC
SMG6	HGNC
SOX12	HGNC
YTHDC2	HGNC
HNRNPD	HGNC
HNRNPU	HGNC
IL3	HGNC
STAU1	HGNC
PKD2L1	HGNC
OASL	HGNC
TBK1	HGNC
TNFAIP3	HGNC
FOXO3	HGNC
TRIM33	HGNC
GALK1	HGNC
ARIH2	HGNC
SP3	HGNC
CLEC4C	HGNC
HLA-B	HGNC
HLA-G	HGNC
NCR3	HGNC
SEC22A	HGNC
ILDR1	HGNC
MUC1	HGNC
MUC4	HGNC
NRROS	HGNC
PARP14	HGNC
LYN	HGNC
NLRC4	HGNC
EIF3L	HGNC
FN1	HGNC
PRKN	HGNC
PRKCD	HGNC
RPS3	HGNC
RPS8	HGNC
UBA52	HGNC
VCP	HGNC
SRMS	HGNC
ART3	HGNC
SP6	HGNC
TIPARP	HGNC
PARP10	HGNC
PARP12	HGNC
TNKS	HGNC
CAA	HGNC
GAA	HGNC
GCA	HGNC
RNASET2	HGNC
SI	HGNC
CLEC5A	HGNC
GEN1	HGNC
PDF	HGNC
MCL1	HGNC
TRAF2	HGNC
ATF4	HGNC
ERN1	HGNC
MAP2K4	HGNC
MAP2K7	HGNC
MAP3K5	HGNC
OAS2	HGNC
C1QTNF3	HGNC
DHX58	HGNC
EMC2	HGNC
ETV7	HGNC
HERC5	HGNC
MX2	HGNC
NLRC5	HGNC
SP100	HGNC
XAF1	HGNC
ZBP1	HGNC
APOBEC3G	HGNC
CIITA	HGNC
CMPK2	HGNC
DTX3L	HGNC
ERVK-25	HGNC
FILIP1	HGNC
GBP6	HGNC
IFI6	HGNC
IRF7	HGNC
IRF9	HGNC
ISG20	HGNC
IL17RC	HGNC
OTOGL	HGNC
PARP15	HGNC
PARP9	HGNC
PPM1F	HGNC
RTP4	HGNC
RPS11	HGNC
RNF213	HGNC
SLC10A2	HGNC
SLC24A1	HGNC
SPHK1	HGNC
TRANK1	HGNC
TMEM52B	HGNC
TAP1	HGNC
TDRD7	HGNC
TP53INP1	HGNC
UBE2L6	HGNC
TSSK6	HGNC
TNFRSF1A	HGNC
PRF1	HGNC
SLC1A5	HGNC
SLC7A9	HGNC
CTSL	HGNC
SLC6A19	HGNC
SLC6A4	HGNC
TMEM27	HGNC
SLC10A3	HGNC
